"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1056",12.375,11.65416667,11.75,13.97083333,20.42083333,9.070833333,9.866666667,6.6375,5.654166667,9.45,11.82916667,11.19583333,15.64583333,9.329166667,9.270833333,7.491666667,6.879166667,15.24583333,9.645454546,12.35,10.54583333,9.991666667,14.40454545,12.62083333,12.59166667,14.94166667,19.86190476,16.66,14.34583333,12.45416667,16.80869565,3.933333333,46.93333333,5.8125,16.94583333,15.8125,8.1875,12.3875
"1057",14.9625,16.8625,9.195833333,12.94166667,29.2,9.325,8.880952381,12.0375,13.45416667,14.75,9.866666667,10.40833333,11.56666667,13.37916667,14.45833333,10.07083333,11.825,13.74166667,13.66666667,11.91666667,12.19166667,13.32608696,19.13333333,18.05416667,16.74583333,27.10833333,27.89583333,15.87083333,20.04347826,20.39583333,22.43333333,11.18695652,55.12083333,15.73333333,17.7,12.93333333,12.60833333,16.9
"1058",7.7,30.575,10.40833333,19.38333333,30.02083333,11.24166667,10.57916667,7.6625,6.670833333,11.35,14.71666667,16.21666667,29.7,9.729166667,11.62083333,7.9625,9.658333333,11.99583333,6.6625,12.18333333,11.91666667,13.50833333,18.95,14.525,13.79166667,36.57916667,33.84583333,13.90416667,9.720833333,9.079166667,9.74,10.8625,41.29583333,8.475,15.83333333,11.72083333,8.058333333,13.61666667
"1059",7.816666667,18.9625,8.604166667,16.75833333,14.65416667,10.30833333,9.954166667,12.61666667,5.083333333,19.32083333,12.47826087,14.36666667,19.4,22.47916667,19.95833333,14.52916667,8.7625,14.59166667,8.1625,17.625,14.3875,17.31666667,32.2,31.10833333,21.36666667,26.07083333,24.84347826,15.81666667,12.22083333,10.02083333,10.10416667,6.908333333,53.35416667,10.9375,12.65,13.975,11.24583333,19.53333333
"1060",13.60416667,14.39583333,7.170833333,12.71666667,21.98333333,15.18333333,14.89583333,17.02083333,9.616666667,17.4625,15.625,13.97083333,17.36666667,35.65833333,28.82916667,39.07083333,20.3875,21.525,12.07916667,17.72916667,17.67916667,16.7,39.19583333,36.1375,16.8,19.22083333,17.07916667,14.81666667,18.65833333,15.79583333,21.62631579,8.333333333,52.60416667,17.32083333,10.32083333,10.26521739,13.33333333,21.65
"1061",7.370833333,26.9625,16.55416667,30.2625,31.61666667,7.141666667,6.358333333,12.04166667,24.14166667,12.975,5.808695652,7.641666667,11.87083333,18.89583333,22.6625,22.30833333,23.37083333,19.83333333,9.0375,6.666666667,7.233333333,10.55,10.45833333,7.8875,8.766666667,28.94583333,27.65,3.055,7.895833333,12.42083333,20.3047619,10.1875,23.12916667,9.458333333,24.68181818,17.98333333,11.6,10.80833333
"1062",9.491666667,23.62083333,13.5125,19.075,14.33333333,9.375,9.608333333,5.254166667,21.96666667,18.075,7.209090909,11.27916667,10.42083333,9.716666667,10.2,8.895833333,13.92916667,10.32916667,8.704166667,15.4375,14.14583333,13.725,24.36666667,21.04166667,19.9625,32,29.0125,11.95,8.216666667,12.83333333,10.23636364,9.9,13.15416667,9.975,17.47083333,27.175,7.566666667,17.425
"1063",11.63333333,16.48333333,9.5375,18.27,22.5625,10.15416667,8.6625,12.5375,15.91818182,17.48333333,18.21666667,12.2625,17.99166667,10.42083333,12.525,14.0625,13.7375,25.63333333,12.66666667,21.54166667,14.35833333,15.18333333,30.17083333,27.5625,24.30833333,37.94166667,27.85833333,13.83333333,15.6375,19.27916667,26.01052632,8.083333333,20.45833333,9.6625,20.11666667,16.6375,15.42083333,26.81304348
"1064",18.04583333,20.19583333,19.40416667,21.85833333,10.39583333,14.5375,14.6625,8.695833333,15.94583333,23.6875,31.50416667,31.18333333,34.8375,14.09166667,14.7625,15.275,10.69583333,11.97083333,19.7625,15.37916667,15.6375,12.8875,22.275,25.92083333,18.80833333,39.50833333,31.23333333,17.25416667,25.7625,25.9,29.33333333,6.6625,16.23333333,3.254166667,21.99583333,18.25,10.39166667,20.3
"1065",11.125,31.5875,19.45217391,18.33809524,15.8375,13.52083333,15.81666667,6.658333333,9.575,12.45416667,27.50416667,26.5,29.39130435,6.054166667,6.491666667,4.341666667,8.2875,10.04166667,11.0375,17.50833333,16.45416667,14.74166667,23.875,24.08333333,20.1375,22.30416667,27.14166667,28.67916667,22.7875,21.53333333,25.96086957,4.616666667,13.15416667,7.216666667,84.9125,32.42916667,10.95833333,17.8875
