"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",19.2875,6.6875,5.383333333,8.070833333,6.654166667,12.57916667,12.23333333,10.82083333,6.579166667,34.05833333,26.47083333,23.09545455,28.225,25.6625,17.46666667,26.375,33.10833333,33.40833333,28.775,29.35,10.21666667,5.579166667,12.05833333,9.295833333,10.73333333,11.20416667,6.345833333,3.6125,20.64583333,20.8875,24.03333333,19.49583333,11.48333333,23.725,26.85416667,13.55,19.175,3.679166667,25.325,11.44583333,16.59583333,6.4375,5.358333333,10.9625,5.8375,13.4625,27.65416667,11.98333333,9.5375,8.2625,12.50833333,13.4625,20.3125,15.02083333,5.8,8.779166667,4.8875,17.75,17.49166667,27.225,10.24583333,10.9125,8.983333333,20.19583333,26.20833333,26.20416667,15.8625,25.98333333,12.75416667,23.1875,35.29583333,20.39583333,28.57916667,25.97916667,19.9375,25.475,30.91666667,6.129166667,8.425,11.50416667,8.270833333,1.479166667,50.31666667,39.20416667,34.8375,12.0625,8.816666667,10.92083333,13.10416667,18.575,6.741666667,20.77916667,8.383333333,8.195833333,7.566666667,11.92608696,13.12083333,21.775,23.24583333,23.24583333,6.129166667,1.241666667,6.979166667,10.7875,6.4,10.0625,8.770833333,4.85,18.475,10.7125,7.8375,13.6952381,40.98333333,19.88333333,29.725,26.1,15.34166667,28.5375,10.14583333,12.13333333,11,13.00833333,7.4375,2.579166667,13.95833333,14.43333333,21.44166667,20.37916667,11.70833333,22.64583333,14.08333333,8.020833333,5.620833333,8.245833333,14.85833333,26.075,12.58333333,9.6125,4.079166667,9.716666667,14.3875,4,16.44166667,7.725,9.620833333,36.1,37.24166667,24.14166667,22.71666667,7.645833333
"2",16.3,11.00416667,12.28333333,12.64166667,15.0875,11.5875,8.8125,4.091666667,11.49166667,55.575,49.70833333,39.81818182,41.325,26.97916667,38.2625,38.41666667,33.30416667,16.19166667,14.14166667,11.8,12.1,10.04166667,14.96666667,12.59166667,11.98333333,9.741666667,6.016666667,5.9875,28.975,28.69583333,21.12083333,18.6375,15.07916667,17.91666667,27.76086957,11.89166667,15.32083333,7.4625,17.59583333,14.1125,14.44583333,8.725,12.30416667,16.76666667,10.825,8.770833333,17.92083333,12.39583333,12.8125,12.7,12.51666667,23.47083333,17.15,17.13333333,4.408333333,4.470833333,2.270833333,15.1625,9.333333333,14.39166667,16.21666667,15.50833333,11.71666667,16.16666667,16.40833333,22.025,17.2125,21.25833333,9.141666667,37.11666667,25.4,21.40416667,30.775,24.9875,26.19583333,32.74166667,21.5625,3.75,8.9875,14.49166667,3.791666667,4.1875,47.62916667,41.4125,42.52083333,12.1625,12.35,11.9625,12.0125,18.32916667,13.05833333,21.93333333,14.675,15.12916667,13.90416667,17.52083333,13.53333333,18.625,19.69565217,21.65416667,10.575,8.5,11.87916667,11.4625,9.979166667,8.816666667,10.80416667,11.15833333,10.95,14.32083333,17.46666667,15.725,32.99583333,15.9875,28.075,27.17083333,16.275,24.2625,14.16666667,10.66666667,10.35833333,12.11666667,13.74166667,6.283333333,10.79583333,26.81666667,21.675,18.425,10.08333333,20.05,12.625,8.591666667,9.529166667,7.616666667,18.01666667,18.95833333,16.85416667,13.30833333,10.6125,14.47916667,18.12916667,7.5875,14.63333333,5.2375,10.39583333,40.12916667,16.36666667,23.3375,23.175,13.18333333
"3",13.1375,8.308333333,9.5125,14.7625,12.77916667,11.48333333,7.5875,6.5375,8.720833333,33.40416667,35.19583333,28.1125,35.8375,28.2875,25.40416667,31.48333333,33.74166667,19.74583333,18.52083333,21.95416667,12.5125,10.42916667,22.41666667,18.61666667,16.94166667,7.104166667,5.358333333,6.304166667,19.06190476,19.32083333,26.1,18.87083333,13.17083333,17.425,24.9,17.81666667,16.3375,4.979166667,15.39583333,16.42916667,16.49166667,8.295833333,14.34583333,17.79583333,12.79166667,16.88333333,25.0875,9.4375,10.92916667,10.34166667,12.05,23.77083333,18.8875,13.73333333,6.6875,4.052380952,4.683333333,10.85416667,8.545833333,12.4875,17.96666667,16.1375,15.625,16.34166667,16.11666667,13.50833333,12.84583333,16.275,11.475,16.97916667,19.40416667,19.48333333,17.72916667,19.5625,26.39583333,24.11666667,21.97083333,5.8375,13.5875,14.37916667,6.404166667,5,29.7375,24.47916667,28.64166667,14.39583333,12.575,13.63333333,24.90416667,20.9875,11.5875,27.39166667,19.5625,13.3625,12.55416667,14.825,11.64166667,15.59583333,16.87368421,10.08333333,12.85,3.395833333,8.233333333,19.30833333,9.066666667,11.875,13.6375,8.475,14.15,11.20833333,13.62083333,19.175,27.45,26.27083333,29.6125,26.975,22.4125,25.97916667,18.3625,13.79583333,20.47916667,27.04583333,11.62916667,4.366666667,9.175,12.55,19.84166667,15.54166667,8.6,18.64166667,9.741666667,10.59166667,6.170833333,7.866666667,19.54166667,28.8625,13.92916667,17.24583333,9.895833333,16.675,18.37083333,6.333333333,15.8375,6.825,8.258333333,33.15416667,15.54583333,22.8125,20.09166667,9.5
"4",13.39583333,19.0875,23.6,25.77916667,20.475,13.85833333,17.05416667,15.36666667,20.05,18.26666667,19.43333333,14.30869565,19.58333333,19.93636364,16.175,18.1625,21.00434783,17.66666667,14.74166667,16.26666667,20.225,13.15,21.775,19.3625,21.95416667,10.925,12.50416667,16.9375,21.14166667,20.62083333,23.07083333,22.01666667,20.02083333,22.83333333,24.94583333,9.1875,23.42083333,4.566666667,27.84583333,30.49166667,22.72083333,10.07916667,12.75416667,24.7875,21.0875,9.054166667,15.37083333,14.94583333,21.2875,17.55416667,11.90833333,27.55,26.42083333,29.10416667,10.94166667,6.7,8.808333333,17.65416667,15.09583333,13.93333333,24.1125,27.42083333,22.01666667,16.57083333,15.45416667,16.97916667,16.73333333,16.55416667,18.12916667,21.77083333,20.76666667,21.375,19.39166667,23.17083333,26.46818182,21.6,24.39583333,6.825,16.7625,18.74166667,6.470833333,3.35,22.01666667,18.09166667,14.30833333,16.24583333,12.50833333,15.865,15.63333333,18.1125,16.74166667,12.59166667,21.1625,17.69166667,19.74166667,19.6,15.72727273,18.37083333,18.27083333,20.92916667,10.1625,3.95,8.216666667,25.38333333,8.925,12.98333333,13.57083333,20.9,13.15833333,16.425,17.53333333,22.1625,21.675,21.425,24.44166667,18.90416667,22.24583333,22.30833333,23.3875,14.51666667,18.53333333,25.6,21.09166667,10.81666667,14.43333333,14.675,15.75833333,15.9875,7.080952381,19.39583333,10.5625,13.25416667,9.633333333,6.2375,28.81666667,38.4625,18.30454545,21.59166667,12.35833333,18.50416667,17.95,11.33333333,25.3875,15.52173913,28.0875,19.76956522,6.383333333,22.54166667,16.1375,31.52916667
"5",13.6625,18.54583333,21.875,32.72083333,18.025,16.49090909,14.12083333,26.27083333,20.225,23.73043478,26.13333333,18.47083333,25.28333333,20.72083333,21.37916667,26.23333333,23.21304348,21.10833333,16.47083333,19.89583333,19.07083333,10.55416667,22.74166667,20.14166667,19.91666667,15.13333333,13.60833333,11.39166667,21.23333333,21.80416667,23.30833333,22.39166667,21.18333333,23.6625,26.25,13.53333333,21.04583333,14.14583333,28.47083333,31.84583333,23.075,11.24583333,13.98333333,25.95416667,15.225,15.45,16.0125,19.05833333,25.27916667,24.0375,22.85833333,35.47083333,17.40416667,24.92916667,10.0875,6.8875,11.42777778,17.5,16.29583333,17.54166667,33.40416667,36.35,30.92083333,18.99583333,19.9375,17.80833333,16.575,18.39166667,18.2125,19.33333333,17.0875,16.3875,19.72916667,21.33333333,22.04583333,17.50833333,19.34583333,9.504166667,20.39166667,23.19166667,12.99583333,2.545833333,31.30833333,20.10952381,16.525,21.60416667,16.09583333,21.0375,18.615,22.82916667,21.66666667,15.68333333,22.19583333,16.27083333,15.57916667,20.06666667,17.47916667,15.87083333,19.2,25.76666667,14.305,9.966666667,12.46666667,19.35833333,11.25833333,17.27083333,18.00869565,25.29166667,23.19166667,18.82916667,26.9875,24.24166667,19.87083333,21.24583333,22.975,21.80416667,18.25416667,20.9125,17.7375,13.24583333,13.61666667,16.95833333,24.02083333,8.9375,16.325,12.78333333,13.59583333,15.33333333,7.270833333,17.26666667,7.404166667,8.341666667,4.975,2.4125,22.09166667,25.94583333,20.62916667,24.46666667,15.53333333,23.06666667,24.73333333,10.42083333,32.1375,20.9625,19.20454545,22.11666667,10.8125,19.81666667,20.87083333,22.54166667
"6",12.17916667,12.8,20.3125,23.02916667,29.32916667,23.53333333,18.11666667,23.8625,15.2375,27.05416667,28.22083333,21.20434783,25.34166667,28.92916667,25.21666667,26.92916667,27.40869565,30.175,26.17083333,31.92916667,21.65,11.3,24.925,23.5625,24.95416667,15.45833333,13.3375,14.25416667,31.83333333,30.90416667,30.14583333,28.22916667,25.71666667,31.7625,34.2,15.53333333,22.90416667,12.69583333,34.3375,28.53333333,26.40416667,11.74166667,21.83478261,24.42083333,12.22083333,10.60416667,14.05217391,19.925,22.39166667,22.5,21.14583333,32.65416667,13.77083333,19.3,3.3875,12.925,15.5375,33.9625,22.85833333,40.65,31.5625,33.375,31.8125,31.175,32.1,33.475,19.79166667,29.27083333,25.625,30.275,38.7625,27.7875,29.75,31.44166667,27.26666667,23.57916667,35.325,17.125,25.30454545,20.61666667,14.36666667,9.3375,28.4625,26.0375,22.88333333,20.375,12.27727273,16.06666667,23.14583333,23.90416667,23.75833333,21.06666667,24.24166667,18.5375,19.64583333,22.75833333,13.7125,13.87916667,13.8875,29.95416667,19.6625,15.08333333,17.47916667,36.425,15.62916667,20.05,17.9125,21.64782609,27.825,20.12083333,28.75,22.0625,27.875,24.69583333,27.47391304,27.8625,28.43333333,24.74583333,22.66666667,16.14583333,16.40416667,21.1,23.88333333,11.74347826,12.21363636,11.25,16.8625,22.31666667,10.275,21.70416667,7.733333333,17.10833333,10.7875,8.358333333,16.0625,28.45,24.9,24.64166667,14.9875,26.37083333,26.05833333,9.3,31.65,15.50416667,18.275,26.05416667,13.93333333,25.53333333,23.7625,28.475
"7",10.94736842,19.04583333,31.92083333,43.1375,34.15,26.43333333,32.40833333,48.67083333,27.825,23.77083333,21.47727273,18.45833333,22.19583333,20.38333333,16.02083333,22.52916667,18.94583333,14.84583333,10.1875,8.6875,32.775,17.33333333,24.54583333,30.215,37.69583333,19.175,14.26666667,15.425,29.72916667,31.10416667,27.55833333,30.94583333,26.47083333,30.95416667,29.16666667,9.8875,40.77083333,13.79583333,49.99166667,27.54583333,37.2875,17.975,51.66666667,37.06666667,15.075,10.2875,16.55,24.96666667,20.05416667,15.81666667,14.44166667,28,22.95,23.96363636,4.525,17.64166667,10.37083333,42.125,21.77083333,38.73333333,31.52083333,26.52916667,29.16521739,19.17083333,19.51904762,23.65,19.9,30.08333333,20.825,30.77916667,44.90416667,29.79583333,44.00833333,30.29583333,30.8625,27.54166667,41.42083333,17.64583333,27.21666667,17.50416667,16.09166667,7.275,23.42916667,21.20833333,22.55,19.475,10.3375,13.54166667,20.875,20.53333333,28.28333333,14.34166667,26.46666667,22.76666667,22.64583333,25.17916667,11.14583333,14.725,16.43333333,32.05,28.36521739,22.25,34.32916667,34.32272727,23.99583333,18.80833333,16.825,24.02916667,16.34583333,27.40833333,16.07916667,19.125,21.625,22.9125,18.8375,21,24.6125,25.3,26.99583333,16.13333333,21.35454545,30.75,27.825,11.80416667,10.39166667,11.56666667,17.39583333,18.875,9.283333333,22.03333333,7.066666667,8.77826087,15.42083333,7.668181818,27.17083333,35.87083333,23.79583333,19.47916667,13.2,27.32083333,21.825,15.39166667,25.92916667,15.94166667,50.0625,23.125,11.39583333,30.65416667,13.85833333,50.27916667
"8",11.90833333,17.36666667,24.91904762,31.39166667,17.0375,33.92083333,35.75,33.5125,17.8625,30.02916667,23.18333333,20.69565217,34.53333333,14.99166667,18.0625,20.07916667,27.75789474,15.25,11.24583333,18.66666667,19.27391304,16.37083333,23.07083333,20.79583333,22.88333333,12.74166667,10.475,9.15,30.32916667,26.7625,22.4625,33.275,20.75,32.38333333,24.94583333,14.425,48.9375,19.62083333,57.04583333,43.475,47.1875,23.19583333,31.525,43.2,23.04583333,13.20833333,28.82083333,26.65833333,21.58333333,19.54583333,17.50416667,29.62916667,19.87916667,18.9875,5.55,18.49166667,25.68333333,36.90416667,27.3625,42.14583333,24.90833333,21.38333333,17.27391304,20.66666667,20.975,24.26666667,22.20833333,27.375,18.33333333,33,39.99166667,28.83333333,34.09583333,35.4,29.05,22.47916667,46.55416667,16.68333333,16.41666667,19.51666667,16.09583333,6.995833333,25.1125,24.63333333,21.64583333,14.4375,9.983333333,15.75833333,22.8625,24.65833333,22.09166667,25.7,23.66666667,18.05,19.29166667,21.65,15.8375,16.67916667,20.14583333,33.28333333,21.57083333,29.0375,26.27916667,31.14166667,29.1173913,17.8875,16.07916667,23.95416667,14.10833333,30.9,14.6875,20.425,20.32083333,21.10833333,18.4375,18.92916667,19.15652174,16.60833333,24.71666667,13.375,18.78333333,26.54347826,21.37916667,9.845833333,10.10416667,11.575,19.75,17.55833333,8.925,18.38333333,7.341666667,8.066666667,11.52083333,8.608333333,14.19166667,61.63333333,16.6875,20.5375,10.91666667,18.54166667,22.63333333,11.55833333,18.79166667,14.35,33.9375,33.11363636,10.25416667,20.24583333,22.10416667,38.10833333
"9",12.39166667,17.7875,23.31666667,19.43333333,15.64166667,30.47083333,18.15416667,14.19583333,19.94166667,28.41666667,27.67083333,20.54545455,25.00833333,22.14166667,20.32916667,23.875,29.23333333,32.53333333,25.925,24.00416667,18.35833333,9.879166667,19.75833333,19.5625,16.75,11.45,13.85416667,8.758333333,18.96666667,15.07916667,13.875,12.5125,13.00833333,14.16666667,16.89166667,33.47916667,56.39166667,23.62083333,60.55833333,36.55833333,57.10416667,27.45833333,35.14583333,43.68333333,15.25833333,11.33333333,16.86666667,25.64583333,27.2375,23.55833333,20.40416667,37.34583333,16.8875,18.80416667,6.529166667,16.39583333,18.42916667,17.72916667,25.1625,22.7,24.9625,21.97916667,15.7625,25.325,39.52083333,32.775,18.9375,22.175,18.66666667,20.67916667,15.59166667,20.26666667,20.8125,19.37083333,24.825,19.47083333,18.6125,8.533333333,22.8625,15.67083333,18.14583333,6.220833333,35.6,31.3875,22.64583333,13.9,10.4625,14.07083333,10.70833333,22.4625,18.23333333,30.92083333,18.89583333,20.22083333,21.26666667,25.8875,15.52916667,15.05833333,18.49166667,19.50416667,29.57916667,21.41666667,22.39166667,17.64583333,22.18333333,13.34583333,11.73333333,22.93333333,17.45,29.39583333,21.46666667,33.51818182,17.00833333,14.2875,26.1,28.00833333,13.16666667,17.85416667,13.04583333,12.16666667,12.04166667,12.60416667,21.05,13.82083333,13.35416667,12.09166667,17.61666667,15.85416667,7.608333333,17.69166667,16.4875,12.4875,10.375,7.870833333,18.24166667,46.0125,16.2,22.20833333,10.825,14.40416667,22.2375,11.08333333,20.4625,15.39166667,15.47916667,28.15416667,27.5,14.61666667,16.85833333,40.025
"10",12.13333333,16.97916667,24.21666667,36.15833333,32.3,17.70833333,13.72083333,22.12916667,19.06666667,29.77916667,26.9125,20.00909091,25.75,19.85,18.75652174,28.32608696,26.65,29.0125,18.53333333,11.525,13.67916667,18.2125,18.34166667,18.67083333,13.81666667,14.86666667,15.1625,7.545833333,13.16666667,11.84583333,13.59166667,11.9,10.02916667,10.81666667,13.8625,17.54583333,26.775,16.50416667,29.85,41.5375,28.87916667,20.76666667,28.04583333,47.8,19.375,8.679166667,21.49166667,22.62083333,33.975,31.87916667,24.79583333,38.89583333,12.59166667,13.89583333,7.654166667,15.35,8.2125,20.2,18.65833333,23.21666667,24.10833333,17.85833333,13.5375,25.14583333,35.1625,44.06666667,19.325,29.475,16.625,15.99583333,14.68333333,14.6875,29.49166667,15.67916667,18.65833333,15.09166667,17.29583333,9.429166667,23.9125,20.09166667,12.825,12.875,46.2875,31.35416667,38.27916667,12.52916667,9.295833333,11.44166667,10.35416667,15.79583333,22.675,33.8,15.025,16.65,15.47916667,21.1625,13.0875,12.9375,18.975,13.63333333,23.07083333,21.73333333,21.87083333,12.3,20.90833333,8.366666667,10.00416667,23.88333333,24.73333333,27.27916667,23.63333333,30.54166667,14.59583333,8.2125,18.74166667,22.5625,10.45833333,14.48333333,11.425,9.733333333,12.04166667,10.67083333,17.95833333,21.00416667,14.72916667,15.1375,13.94583333,14.58333333,5.4,18.55217391,18.06666667,24.4,9.070833333,8.795833333,14.00416667,23.3375,12.00833333,13.4625,10.575,11.22916667,18.175,11.67083333,17.4,13.14166667,27.99583333,25.3375,17.99166667,13.02916667,15.07083333,33.44583333
